LOGRECNO,GEOID,Population 15 years and over in the United States,Median income 
11346,86000US03458,5645,31325
11347,86000US03461,4853,19147
11348,86000US03462,1501,40691
11349,86000US03464,845,32358
11350,86000US03465,1824,24946
11351,86000US03466,733,42500
11352,86000US03467,1616,30000
11353,86000US03470,3791,24360
11354,86000US03561,4914,25464
11355,86000US03570,8417,21149
11356,86000US03574,2023,28831
11357,86000US03575,106,7593
11358,86000US03576,2797,22237
11359,86000US03579,400,23000
11360,86000US03580,1337,28707
11361,86000US03581,2712,27548
11362,86000US03582,2161,20417
11363,86000US03583,734,27404
11364,86000US03584,3077,22430
11365,86000US03585,2197,26452
11366,86000US03586,489,36023
11367,86000US03588,1415,28598
11368,86000US03590,805,17165
11369,86000US03592,1165,21750
11370,86000US03593,419,33063
11371,86000US03595,697,25086
11372,86000US03597,330,16250
11373,86000US03598,2690,25973
11374,86000US03601,424,22891
11375,86000US03602,2205,28667
11376,86000US03603,4521,25758
11377,86000US03604,179,33029
11378,86000US03605,933,27756
11379,86000US03607,281,24453
11380,86000US03608,1906,31772
11381,86000US03609,933,26989
11382,86000US03740,627,25662
11383,86000US03741,3606,28285
11384,86000US03743,11350,25306
11385,86000US03745,1245,32105
11386,86000US03746,133,41250
11387,86000US03748,3958,38701
11388,86000US03750,937,61406
11389,86000US03751,391,33047
11390,86000US03752,648,26207
11391,86000US03753,2477,40915
11392,86000US03754,0,.
11393,86000US03755,9402,13732
11394,86000US03765,534,23031
11395,86000US03766,7962,31490
11396,86000US03768,1547,44637
11397,86000US03770,459,44375
11398,86000US03771,791,28125
11399,86000US03773,6580,28183
11400,86000US03774,1522,25960
11401,86000US03777,1175,34833
11402,86000US03779,725,36161
11403,86000US03780,321,29514
11404,86000US03781,1646,40688
11405,86000US03782,2604,36587
11406,86000US03784,3226,31109
11407,86000US03785,2149,21559
11408,86000US03801,18966,35301
11409,86000US03809,3106,34572
11410,86000US03810,1387,28920
11411,86000US03811,5679,36582
11412,86000US03812,544,18918
11413,86000US03813,3133,26029
11414,86000US03814,2006,23650
11415,86000US03816,1172,25717
11416,86000US03817,568,18542
11417,86000US03818,3180,25055
11418,86000US03819,3388,40483
11419,86000US03820,25051,29265
11420,86000US03823,1580,33787
11421,86000US03824,13576,6872
11422,86000US03825,6668,36611
11423,86000US03826,2184,36518
11424,86000US03827,2681,37813
11425,86000US03830,1470,20327
11426,86000US03832,345,29479
11427,86000US03833,17116,35792
11428,86000US03835,5609,27245
11429,86000US03836,1052,24146
11430,86000US03837,1208,30281
11431,86000US03838,839,38793
11432,86000US03839,3146,27209
11433,86000US03840,3005,38660
11434,86000US03841,5152,42796
11435,86000US03842,12687,36317
11436,86000US03844,1882,50982
11437,86000US03845,1005,26984
11438,86000US03846,859,29605
11439,86000US03847,272,35890
11440,86000US03848,4868,36234
11441,86000US03849,1130,31411
11442,86000US03850,209,31510
11443,86000US03851,3313,27857
11444,86000US03852,466,19830
11445,86000US03853,582,38207
11446,86000US03854,873,52292
11447,86000US03855,2142,36326
11448,86000US03856,1282,43295
11449,86000US03857,7400,30136
11450,86000US03858,3795,39012
11451,86000US03860,3325,24169
11452,86000US03861,3612,39468
11453,86000US03862,3579,38931
11454,86000US03864,1176,29844
11455,86000US03865,6207,36639
11456,86000US03867,16907,27243
11457,86000US03868,5176,27915
11458,86000US03869,1936,31071
11459,86000US03870,4674,44054
11460,86000US03871,17,.
11461,86000US03872,3131,26238
11462,86000US03873,4665,36164
11463,86000US03874,7953,26122
11464,86000US03875,1041,25357
11465,86000US03878,9578,26084
11466,86000US03882,1213,23954
11467,86000US03883,61,48309
11468,86000US03884,3181,39425
11469,86000US03885,5674,45917
11470,86000US03886,1858,19714
11471,86000US03887,1615,26723
11472,86000US03890,336,14286
11473,86000US03894,5289,30845
11474,86000US03901,5821,26417
11475,86000US03902,1771,32394
11476,86000US03903,5122,35213
11477,86000US03904,7223,29294
11478,86000US03905,1095,29653
11479,86000US03906,3663,30564
11480,86000US03907,1034,30032
11481,86000US03908,5757,32122
11482,86000US03909,8549,31546
11483,86000US03910,219,28419
11484,86000US03911,117,9436
11485,86000US04001,2094,26359
11486,86000US04002,6071,28744
11487,86000US04003,482,20655
11488,86000US04005,19446,24636
11489,86000US04006,63,30750
11490,86000US04008,2196,31904
11491,86000US04009,4342,21556
11492,86000US04010,1116,22467
11493,86000US04011,17301,24571
11494,86000US04015,3135,23926
11495,86000US04017,367,28333
11496,86000US04019,0,.
11497,86000US04020,1221,21864
11498,86000US04021,4806,50405
11499,86000US04022,862,25927
11500,86000US04024,498,25357
11501,86000US04027,4797,26768
11502,86000US04029,1380,26059
11503,86000US04030,2041,20858
11504,86000US04032,6424,32574
11505,86000US04037,3265,18143
11506,86000US04038,13717,30553
11507,86000US04039,5836,31052
11508,86000US04040,2642,26713
11509,86000US04041,1360,22708
11510,86000US04042,3410,29849
11511,86000US04043,9071,35606
11512,86000US04046,6299,32212
11513,86000US04047,1381,23424
11514,86000US04048,2299,28516
11515,86000US04049,3021,29496
11516,86000US04050,215,21750
11517,86000US04051,922,27449
11518,86000US04055,3117,26284
11519,86000US04056,172,13988
11520,86000US04057,23,.
11521,86000US04061,2546,32048
11522,86000US04062,14163,31795
11523,86000US04063,338,16250
11524,86000US04064,7393,23324
